bucket,n_repos,uniformity_index_mean,ai_gap_mean,pattern_cluster_density_mean
low,18,0.013634587963064895,-0.0022859987775873934,8.24018046150292
mid,15,0.014493811418168058,0.0008020675067080712,8.359788214424482
high,15,0.01415129051226836,0.0028341961008583843,7.37057295208565
